Employee_ID,Employee_Name,Pay_Period_Date,Department,Designation,Gender,Cost_Center,Basic_Salary,HRA,Performance_Bonus,Total_Earnings,Provident_Fund,Professional_Tax,Income_Tax,Total_Deductions,Net_Pay
OPT0001,Laura Salazar,2025-08-01,Marketing,Manager,Male,46913810,67296,26918,4221,98435,8075,200,9843,18118,80317
OPT0002,George Cox,2025-08-01,Finance,Senior Analyst,Male,23756669,77624,31049,4225,112898,9314,200,11289,20803,92095
OPT0003,Christine Lopez,2025-08-01,Marketing,Associate,Male,89254563,72349,28939,8069,109357,8681,200,10935,19816,89541
OPT0004,Stephanie Hall,2025-08-01,Operations,Manager,Male,22575562,47889,19155,2415,69459,5746,200,6945,12891,56568
OPT0005,Aaron Ayala,2025-08-01,Finance,Senior Analyst,Male,85329037,66802,26720,3848,97370,8016,200,9737,17953,79417
OPT0006,Christopher Rodriguez,2025-08-01,Finance,Associate,Female,39587039,35440,14176,2820,52436,4252,200,5243,9695,42741
OPT0007,Philip Pacheco,2025-08-01,Operations,Associate,Female,10872248,79012,31604,5869,116485,9481,200,11648,21329,95156
OPT0008,Michael Bradley,2025-08-01,Finance,Executive,Female,47295260,41009,16403,2042,59454,4921,200,5945,11066,48388
OPT0009,Amanda Reyes,2025-08-01,Finance,Senior Analyst,Female,23718431,42350,16940,5333,64623,5082,200,6462,11744,52879
OPT0010,Mark Middleton DDS,2025-08-01,HR,Executive,Male,58181396,63175,25270,5911,94356,7581,200,9435,17216,77140
OPT0011,Dawn Fernandez,2025-08-01,IT,Associate,Female,15831819,81539,32615,9896,124050,9784,200,12405,22389,101661
OPT0012,Jeffrey Martinez,2025-08-01,Marketing,Executive,Male,60806024,50704,20281,7291,78276,6084,200,7827,14111,64165
OPT0013,Brian Cruz,2025-08-01,HR,Associate,Female,94374605,37862,15144,7343,60349,4543,200,6034,10777,49572
OPT0014,Brittany Cohen,2025-08-01,Sales,Analyst,Male,19335534,67071,26828,8051,101950,8048,200,10195,18443,83507
OPT0015,Alexander Keller,2025-08-01,HR,Senior Analyst,Female,20709497,34444,13777,9481,57702,4133,200,5770,10103,47599
OPT0016,Tiffany Alvarez,2025-08-01,Finance,Manager,Female,47308985,59386,23754,9227,92367,7126,200,9236,16562,75805
OPT0017,Kimberly Jones,2025-08-01,Operations,Analyst,Male,59684848,34381,13752,8850,56983,4125,200,5698,10023,46960
OPT0018,Melissa Gilbert,2025-08-01,IT,Senior Analyst,Female,96977837,64465,25786,3526,93777,7735,200,9377,17312,76465
OPT0019,Rachel Warner,2025-08-01,HR,Associate,Male,81691040,50970,20388,9182,80540,6116,200,8054,14370,66170
OPT0020,Matthew Freeman,2025-08-01,Marketing,Senior Analyst,Male,72043515,51555,20622,6652,78829,6186,200,7882,14268,64561
OPT0021,Dylan Williams,2025-08-01,Operations,Analyst,Male,53524491,53957,21582,4331,79870,6474,200,7987,14661,65209
OPT0022,Karen Johnson,2025-08-01,HR,Senior Analyst,Male,52339391,74029,29611,6450,110090,8883,200,11009,20092,89998
OPT0023,Nicholas Gonzales,2025-08-01,Operations,Analyst,Male,38317637,40794,16317,8971,66082,4895,200,6608,11703,54379
OPT0024,Nicholas Ibarra,2025-08-01,Sales,Analyst,Male,97971488,49880,19952,3579,73411,5985,200,7341,13526,59885
OPT0025,Barbara Torres,2025-08-01,Operations,Executive,Female,29175900,53671,21468,3331,78470,6440,200,7847,14487,63983
OPT0026,Kerry Martin,2025-08-01,IT,Senior Analyst,Male,85345555,74486,29794,4107,108387,8938,200,10838,19976,88411
OPT0027,Stephen Allen,2025-08-01,Sales,Analyst,Female,88320463,32923,13169,8034,54126,3950,200,5412,9562,44564
OPT0028,Christian Hicks,2025-08-01,Operations,Analyst,Male,28566572,51334,20533,6651,78518,6160,200,7851,14211,64307
OPT0029,Adam Hernandez,2025-08-01,Sales,Executive,Male,16323852,44659,17863,3437,65959,5359,200,6595,12154,53805
