Employee_ID,Employee_Name,Pay_Period_Date,Department,Designation,Gender,Cost_Center,Basic_Salary,HRA,Performance_Bonus,Total_Earnings,Provident_Fund,Professional_Tax,Income_Tax,Total_Deductions,Net_Pay
OPT0001,Laura Salazar,2025-04-01,Marketing,Manager,Male,46913810,38364,15345,7097,60806,4603,200,6080,10883,49923
OPT0002,George Cox,2025-04-01,Finance,Senior Analyst,Male,23756669,55822,22328,6848,84998,6698,200,8499,15397,69601
OPT0003,Christine Lopez,2025-04-01,Marketing,Associate,Male,89254563,31776,12710,2687,47173,3813,200,4717,8730,38443
OPT0004,Stephanie Hall,2025-04-01,Operations,Manager,Male,22575562,38893,15557,9101,63551,4667,200,6355,11222,52329
OPT0005,Aaron Ayala,2025-04-01,Finance,Senior Analyst,Male,85329037,33295,13318,4131,50744,3995,200,5074,9269,41475
OPT0006,Christopher Rodriguez,2025-04-01,Finance,Associate,Female,39587039,43871,17548,5724,67143,5264,200,6714,12178,54965
OPT0007,Philip Pacheco,2025-04-01,Operations,Associate,Female,10872248,79887,31954,9206,121047,9586,200,12104,21890,99157
OPT0008,Michael Bradley,2025-04-01,Finance,Executive,Female,47295260,79283,31713,9792,120788,9513,200,12078,21791,98997
OPT0009,Amanda Reyes,2025-04-01,Finance,Senior Analyst,Female,23718431,46532,18612,8839,73983,5583,200,7398,13181,60802
OPT0010,Mark Middleton DDS,2025-04-01,HR,Executive,Male,58181396,31270,12508,8136,51914,3752,200,5191,9143,42771
OPT0011,Dawn Fernandez,2025-04-01,IT,Associate,Female,15831819,52935,21174,3836,77945,6352,200,7794,14346,63599
OPT0012,Jeffrey Martinez,2025-04-01,Marketing,Executive,Male,60806024,72713,29085,2329,104127,8725,200,10412,19337,84790
OPT0013,Brian Cruz,2025-04-01,HR,Associate,Female,94374605,46205,18482,3633,68320,5544,200,6832,12576,55744
OPT0014,Brittany Cohen,2025-04-01,Sales,Analyst,Male,19335534,70719,28287,3248,102254,8486,200,10225,18911,83343
OPT0015,Alexander Keller,2025-04-01,HR,Senior Analyst,Female,20709497,61035,24414,7484,92933,7324,200,9293,16817,76116
