Employee_ID,Employee_Name,Pay_Period_Date,Department,Designation,Gender,Cost_Center,Basic_Salary,HRA,Performance_Bonus,Total_Earnings,Provident_Fund,Professional_Tax,Income_Tax,Total_Deductions,Net_Pay
OPT0001,Laura Salazar,2025-09-01,Marketing,Manager,Male,46913810,76196,30478,9650,116324,9143,200,11632,20975,95349
OPT0002,George Cox,2025-09-01,Finance,Senior Analyst,Male,23756669,64167,25666,7400,97233,7700,200,9723,17623,79610
OPT0003,Christine Lopez,2025-09-01,Marketing,Associate,Male,89254563,32933,13173,6359,52465,3951,200,5246,9397,43068
OPT0004,Stephanie Hall,2025-09-01,Operations,Manager,Male,22575562,33276,13310,2137,48723,3993,200,4872,9065,39658
OPT0005,Aaron Ayala,2025-09-01,Finance,Senior Analyst,Male,85329037,50505,20202,6388,77095,6060,200,7709,13969,63126
OPT0006,Christopher Rodriguez,2025-09-01,Finance,Associate,Female,39587039,33623,13449,6114,53186,4034,200,5318,9552,43634
OPT0007,Philip Pacheco,2025-09-01,Operations,Associate,Female,10872248,76673,30669,5527,112869,9200,200,11286,20686,92183
OPT0008,Michael Bradley,2025-09-01,Finance,Executive,Female,47295260,44248,17699,2876,64823,5309,200,6482,11991,52832
OPT0009,Amanda Reyes,2025-09-01,Finance,Senior Analyst,Female,23718431,66866,26746,3219,96831,8023,200,9683,17906,78925
OPT0010,Mark Middleton DDS,2025-09-01,HR,Executive,Male,58181396,73117,29246,6312,108675,8774,200,10867,19841,88834
OPT0011,Dawn Fernandez,2025-09-01,IT,Associate,Female,15831819,55728,22291,4189,82208,6687,200,8220,15107,67101
OPT0012,Jeffrey Martinez,2025-09-01,Marketing,Executive,Male,60806024,37678,15071,5056,57805,4521,200,5780,10501,47304
OPT0013,Brian Cruz,2025-09-01,HR,Associate,Female,94374605,62580,25032,6628,94240,7509,200,9424,17133,77107
OPT0014,Brittany Cohen,2025-09-01,Sales,Analyst,Male,19335534,78194,31277,3850,113321,9383,200,11332,20915,92406
