Employee_ID,Employee_Name,Pay_Period_Date,Department,Designation,Gender,Cost_Center,Basic_Salary,HRA,Performance_Bonus,Total_Earnings,Provident_Fund,Professional_Tax,Income_Tax,Total_Deductions,Net_Pay
OPT0001,Laura Salazar,2025-06-01,Marketing,Manager,Male,46913810,34447,13778,3274,51499,4133,200,5149,9482,42017
OPT0002,George Cox,2025-06-01,Finance,Senior Analyst,Male,23756669,71490,28596,2407,102493,8578,200,10249,19027,83466
OPT0003,Christine Lopez,2025-06-01,Marketing,Associate,Male,89254563,48832,19532,5629,73993,5859,200,7399,13458,60535
OPT0004,Stephanie Hall,2025-06-01,Operations,Manager,Male,22575562,62828,25131,6973,94932,7539,200,9493,17232,77700
OPT0005,Aaron Ayala,2025-06-01,Finance,Senior Analyst,Male,85329037,48902,19560,3765,72227,5868,200,7222,13290,58937
OPT0006,Christopher Rodriguez,2025-06-01,Finance,Associate,Female,39587039,38459,15383,4827,58669,4615,200,5866,10681,47988
OPT0007,Philip Pacheco,2025-06-01,Operations,Associate,Female,10872248,49562,19824,7555,76941,5947,200,7694,13841,63100
OPT0008,Michael Bradley,2025-06-01,Finance,Executive,Female,47295260,62891,25156,6316,94363,7546,200,9436,17182,77181
OPT0009,Amanda Reyes,2025-06-01,Finance,Senior Analyst,Female,23718431,33976,13590,3806,51372,4077,200,5137,9414,41958
OPT0010,Mark Middleton DDS,2025-06-01,HR,Executive,Male,58181396,70277,28110,69753,168140,8433,200,16814,25447,142693
OPT0011,Dawn Fernandez,2025-06-01,IT,Associate,Female,15831819,44843,17937,8286,71066,5381,200,7106,12687,58379
OPT0012,Jeffrey Martinez,2025-06-01,Marketing,Executive,Male,60806024,47745,19098,4371,71214,5729,200,7121,13050,58164
OPT0013,Brian Cruz,2025-06-01,HR,Associate,Female,94374605,31506,12602,6074,50182,3780,200,5018,8998,41184
OPT0014,Brittany Cohen,2025-06-01,Sales,Analyst,Male,19335534,42514,17005,3058,62577,5101,200,6257,11558,51019
OPT0015,Alexander Keller,2025-06-01,HR,Senior Analyst,Female,20709497,77115,30846,3885,111846,9253,200,11184,20637,91209
OPT0016,Tiffany Alvarez,2025-06-01,Finance,Manager,Female,47308985,74781,29912,8604,113297,8973,200,11329,20502,92795
OPT0017,Kimberly Jones,2025-06-01,Operations,Analyst,Male,59684848,57022,22808,9059,88889,6842,200,8888,15930,72959
OPT0018,Melissa Gilbert,2025-06-01,IT,Senior Analyst,Female,96977837,59588,23835,2153,85576,7150,200,8557,15907,69669
OPT0019,Rachel Warner,2025-06-01,HR,Associate,Male,81691040,36102,14440,9062,59604,4332,200,5960,10492,49112
OPT0020,Matthew Freeman,2025-06-01,Marketing,Senior Analyst,Male,72043515,59133,23653,6697,89483,7095,200,8948,16243,73240
OPT0021,Dylan Williams,2025-06-01,Operations,Analyst,Male,53524491,72952,29180,5421,107553,8754,200,10755,19709,87844
OPT0022,Karen Johnson,2025-06-01,HR,Senior Analyst,Male,52339391,57544,23017,2170,82731,6905,200,8273,15378,67353
OPT0023,Nicholas Gonzales,2025-06-01,Operations,Analyst,Male,38317637,42263,16905,8564,67732,5071,200,6773,12044,55688
OPT0024,Nicholas Ibarra,2025-06-01,Sales,Analyst,Male,97971488,61152,24460,8815,94427,7338,200,9442,16980,77447
OPT0025,Barbara Torres,2025-06-01,Operations,Executive,Female,29175900,54714,21885,2721,79320,6565,200,7932,14697,64623
OPT0026,Kerry Martin,2025-06-01,IT,Senior Analyst,Male,85345555,37937,15174,3993,57104,4552,200,5710,10462,46642
OPT0027,Stephen Allen,2025-06-01,Sales,Analyst,Female,88320463,57243,22897,6292,86432,6869,200,8643,15712,70720
OPT0028,Christian Hicks,2025-06-01,Operations,Analyst,Male,28566572,51334,20533,8109,79976,6160,200,7997,14357,65619
OPT0029,Adam Hernandez,2025-06-01,Sales,Executive,Male,16323852,52827,21130,8382,82339,6339,200,8233,14772,67567
OPT0030,Amber Vega,2025-06-01,HR,Senior Analyst,Male,66661351,64455,25782,7187,97424,7734,200,9742,17676,79748
OPT0031,Angela Cooper,2025-06-01,Sales,Manager,Female,61220073,64420,25768,3588,93776,7730,200,9377,17307,76469
OPT0032,Regina Butler,2025-06-01,Sales,Executive,Female,84252722,53896,21558,4876,80330,6467,200,8033,14700,65630
OPT0033,Joseph Martinez,2025-06-01,HR,Manager,Female,96028436,73299,29319,8676,111294,8795,200,11129,20124,91170
OPT0034,Morgan Stevenson,2025-06-01,IT,Manager,Female,68353204,37737,15094,3199,56030,4528,200,5603,10331,45699
OPT0035,Joseph Jenkins,2025-06-01,Finance,Executive,Male,45351479,42370,16948,6934,66252,5084,200,6625,11909,54343
OPT0036,David Clark,2025-06-01,Sales,Senior Analyst,Male,93926371,80751,32300,7369,120420,9690,200,12042,21932,98488
OPT0037,Michelle Newman,2025-06-01,IT,Associate,Male,30513739,72153,28861,6047,107061,8658,200,10706,19564,87497
OPT0038,Douglas Mills MD,2025-06-01,IT,Senior Analyst,Male,90388981,67944,27177,8224,103345,8153,200,10334,18687,84658
OPT0039,Marc Jones,2025-06-01,IT,Executive,Male,25014631,75638,30255,9570,115463,9076,200,11546,20822,94641
OPT0040,Jeremy Lucas,2025-06-01,IT,Analyst,Male,17774584,73139,29255,7204,109598,8776,200,10959,19935,89663
OPT0041,Meghan Craig,2025-06-01,Finance,Associate,Male,21496211,52181,20872,9079,82132,6261,200,8213,14674,67458
OPT0042,Kevin Wilson,2025-06-01,Marketing,Executive,Male,81498611,51718,20687,3236,75641,6206,200,7564,13970,61671
OPT0043,Aaron Humphrey,2025-06-01,Finance,Senior Analyst,Female,83793389,61731,24692,5622,92045,7407,200,9204,16811,75234
OPT0044,Evan Hayes,2025-06-01,Finance,Analyst,Female,38427073,49001,19600,6844,75445,5880,200,7544,13624,61821
OPT0045,Jacqueline Ellison,2025-06-01,Sales,Senior Analyst,Female,63551839,64248,25699,2607,92554,7709,200,9255,17164,75390
OPT0046,Bryan Mcgee,2025-06-01,Marketing,Analyst,Female,79467853,60616,24246,2308,87170,7273,200,8717,16190,70980
OPT0047,Lauren Grant,2025-06-01,Operations,Manager,Male,40158366,49813,19925,2628,72366,5977,200,7236,13413,58953
OPT0048,Julia Smith,2025-06-01,HR,Analyst,Male,88961459,36917,14766,7038,58721,4430,200,5872,10502,48219
OPT0049,Karen Weber,2025-06-01,Sales,Senior Analyst,Male,10965138,56197,22478,5790,84465,6743,200,8446,15389,69076
OPT0050,Jeffrey Payne,2025-06-01,HR,Manager,Male,19046318,79425,31770,9339,120534,9531,200,12053,21784,98750
OPT0051,Madison Morris,2025-06-01,HR,Analyst,Male,79008866,68464,27385,7339,103188,8215,200,10318,18733,84455
OPT0052,Lorraine Humphrey,2025-06-01,Finance,Analyst,Female,38754377,70649,28259,5896,104804,8477,200,10480,19157,85647
OPT0053,Richard Eaton,2025-06-01,Sales,Senior Analyst,Female,42614537,35054,14021,5690,54765,4206,200,5476,9882,44883
OPT0054,Mr. Christian Medina,2025-06-01,Operations,Executive,Male,22660194,53507,21402,7851,82760,6420,200,8276,14896,67864
