Employee_ID,Employee_Name,Pay_Period_Date,Department,Designation,Gender,Cost_Center,Basic_Salary,HRA,Performance_Bonus,Total_Earnings,Provident_Fund,Professional_Tax,Income_Tax,Total_Deductions,Net_Pay
OPT0001,Laura Salazar,2025-05-01,Marketing,Manager,Male,46913810,73230,29292,3246,105768,8787,200,10576,19563,86205
OPT0002,George Cox,2025-05-01,Finance,Senior Analyst,Male,23756669,32926,13170,3034,49130,3951,200,4913,9064,40066
OPT0003,Christine Lopez,2025-05-01,Marketing,Associate,Male,89254563,69178,27671,4719,101568,8301,200,10156,18657,82911
OPT0004,Stephanie Hall,2025-05-01,Operations,Manager,Male,22575562,59355,23742,2816,85913,7122,200,8591,15913,70000
OPT0005,Aaron Ayala,2025-05-01,Finance,Senior Analyst,Male,85329037,60445,24178,2125,86748,7253,200,8674,16127,70621
OPT0006,Christopher Rodriguez,2025-05-01,Finance,Associate,Female,39587039,57368,22947,9134,89449,6884,200,8944,16028,73421
OPT0007,Philip Pacheco,2025-05-01,Operations,Associate,Female,10872248,40616,16246,2612,59474,4873,200,5947,11020,48454
OPT0008,Michael Bradley,2025-05-01,Finance,Executive,Female,47295260,47868,19147,4773,71788,5744,200,7178,13122,58666
OPT0009,Amanda Reyes,2025-05-01,Finance,Senior Analyst,Female,23718431,56549,22619,7323,86491,6785,200,8649,15634,70857
OPT0010,Mark Middleton DDS,2025-05-01,HR,Executive,Male,58181396,52032,20812,8982,81826,6243,200,8182,14625,67201
OPT0011,Dawn Fernandez,2025-05-01,IT,Associate,Female,15831819,65471,26188,5113,96772,7856,200,9677,17733,79039
OPT0012,Jeffrey Martinez,2025-05-01,Marketing,Executive,Male,60806024,71577,28630,7887,108094,8589,200,10809,19598,88496
OPT0013,Brian Cruz,2025-05-01,HR,Associate,Female,94374605,62478,24991,9146,96615,7497,200,9661,17358,79257
OPT0014,Brittany Cohen,2025-05-01,Sales,Analyst,Male,19335534,70965,28386,2560,101911,8515,200,10191,18906,83005
OPT0015,Alexander Keller,2025-05-01,HR,Senior Analyst,Female,20709497,75352,30140,9544,115036,9042,200,11503,20745,94291
